ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:170(append)
14,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:247(match)
10,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:252(get)
8,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:284(tell)
96,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:889(optionxform)
12,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1377(__iter__)
1326,0.001,0.000,0.001,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:807(__members__)
53,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1038(<dictcomp>)
12,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1205(converters)
39,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:37(_is_descriptor)
6,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:426(_get_iscased)
845697,0.422,0.000,0.424,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:407(remove_internal)
22309,0.013,0.000,0.020,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sysfont.py:45(<genexpr>)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:73(__init__)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:444(_uniq)
1603012/134410,1.289,0.000,16.855,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:545(update)
62011,0.097,0.000,1.829,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:661(__init__)
8125,0.233,0.000,0.678,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:184(kill)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:279(_is_owned)
678,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:1241(name)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:1246(value)
848247,0.150,0.000,0.150,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:418(has_internal)
136,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:1230(__reduce_ex__)
8,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:79(groups)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:109(__init__)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:158(__len__)
3442715,1.248,0.000,1.248,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:381(sprites)
2536587,0.501,0.000,0.501,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:572(<genexpr>)
9142,0.005,0.000,0.007,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\copyreg.py:104(__newobj__)
62011,0.019,0.000,0.019,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:377(__init__)
